,length_url,length_domain,ip_address,number_of_hyphens,number_of_dots,number_of_dollar_sign,length_path
105,55.0,24.0,0.0,5.0,1.0,0.0,1.0
106,55.0,20.0,0.0,5.0,3.0,0.0,37.0
107,195.0,11.0,0.0,3.0,2.0,0.0,37.0
108,32.0,18.0,0.0,3.0,3.0,0.0,1.0
109,48.0,20.0,0.0,4.0,2.0,0.0,28.0
110,223.0,12.0,0.0,3.0,3.0,0.0,14.0
111,48.0,22.0,0.0,4.0,3.0,0.0,1.0
112,47.0,30.0,0.0,5.0,1.0,0.0,22.0
113,40.0,24.0,0.0,3.0,2.0,0.0,47.0
114,34.0,20.0,0.0,4.0,2.0,0.0,96.0
115,48.0,19.0,0.0,5.0,2.0,0.0,16.0
116,89.0,17.0,0.0,8.0,5.0,0.0,25.0
117,150.0,11.0,0.0,9.0,9.0,0.0,17.0
118,85.0,13.0,0.0,5.0,2.0,0.0,41.0
119,28.0,13.0,0.0,3.0,3.0,0.0,42.0
120,26.0,14.0,0.0,3.0,2.0,0.0,5.0
121,55.0,42.0,0.0,4.0,1.0,0.0,21.0
122,46.0,22.0,0.0,4.0,1.0,0.0,30.0
123,40.0,18.0,0.0,4.0,1.0,0.0,1.0
124,36.0,28.0,0.0,4.0,1.0,0.0,39.0
125,71.0,21.0,0.0,4.0,1.0,0.0,22.0
126,36.0,18.0,0.0,4.0,2.0,0.0,26.0
127,43.0,9.0,0.0,4.0,1.0,0.0,7.0
128,58.0,43.0,0.0,4.0,1.0,0.0,21.0
129,14.0,25.0,0.0,3.0,1.0,0.0,34.0
130,23.0,21.0,0.0,3.0,2.0,0.0,6.0
131,19.0,12.0,0.0,4.0,2.0,0.0,46.0
132,44.0,21.0,0.0,5.0,2.0,0.0,13.0
133,40.0,21.0,0.0,5.0,3.0,0.0,54.0
134,59.0,13.0,1.0,4.0,3.0,0.0,9.0
135,44.0,29.0,0.0,4.0,2.0,0.0,51.0
136,28.0,22.0,0.0,4.0,2.0,0.0,13.0
137,63.0,36.0,0.0,3.0,2.0,0.0,50.0
138,64.0,18.0,0.0,5.0,1.0,0.0,70.0
139,34.0,20.0,0.0,3.0,1.0,0.0,8.0
140,108.0,23.0,0.0,10.0,2.0,0.0,40.0
141,49.0,23.0,0.0,5.0,2.0,0.0,10.0
142,118.0,33.0,0.0,6.0,6.0,0.0,15.0
143,27.0,26.0,0.0,3.0,2.0,0.0,24.0
144,65.0,18.0,0.0,5.0,3.0,0.0,19.0
145,32.0,13.0,1.0,4.0,2.0,0.0,20.0
146,52.0,19.0,0.0,5.0,4.0,0.0,3.0
147,65.0,13.0,0.0,4.0,1.0,0.0,7.0
148,27.0,25.0,0.0,3.0,2.0,0.0,1.0
149,17.0,14.0,0.0,3.0,1.0,0.0,17.0
150,44.0,20.0,0.0,4.0,1.0,0.0,3.0
151,51.0,20.0,0.0,4.0,2.0,0.0,11.0
152,90.0,33.0,0.0,9.0,1.0,0.0,10.0
153,77.0,37.0,0.0,8.0,2.0,0.0,21.0
154,63.0,9.0,0.0,3.0,2.0,0.0,8.0
155,105.0,19.0,0.0,5.0,8.0,0.0,7.0
156,53.0,14.0,0.0,7.0,2.0,0.0,30.0
157,101.0,15.0,0.0,5.0,4.0,0.0,36.0
158,71.0,12.0,0.0,8.0,1.0,0.0,1.0
159,38.0,19.0,0.0,3.0,3.0,0.0,5.0
160,65.0,18.0,0.0,5.0,1.0,0.0,1.0
161,137.0,10.0,0.0,9.0,8.0,0.0,31.0
162,69.0,28.0,0.0,5.0,2.0,0.0,16.0
163,50.0,32.0,0.0,4.0,1.0,0.0,12.0
164,22.0,20.0,0.0,3.0,3.0,0.0,32.0
165,31.0,17.0,0.0,3.0,3.0,0.0,23.0
166,30.0,13.0,1.0,3.0,3.0,0.0,9.0
167,46.0,14.0,0.0,5.0,1.0,0.0,29.0
168,16.0,19.0,0.0,2.0,1.0,0.0,21.0
169,63.0,17.0,0.0,4.0,4.0,0.0,1.0
170,63.0,23.0,0.0,5.0,2.0,0.0,1.0
171,47.0,12.0,0.0,4.0,2.0,0.0,24.0
172,85.0,36.0,0.0,6.0,1.0,0.0,46.0
173,187.0,12.0,0.0,8.0,5.0,0.0,38.0
174,69.0,14.0,0.0,4.0,1.0,0.0,31.0
175,54.0,14.0,1.0,5.0,2.0,0.0,25.0
176,161.0,11.0,0.0,3.0,2.0,0.0,1.0
177,60.0,22.0,0.0,4.0,2.0,0.0,11.0
178,43.0,18.0,0.0,3.0,3.0,0.0,1.0
179,54.0,22.0,0.0,4.0,3.0,0.0,14.0
180,229.0,15.0,0.0,3.0,5.0,0.0,25.0
181,79.0,17.0,0.0,6.0,3.0,0.0,17.0
182,85.0,28.0,0.0,5.0,3.0,0.0,30.0
183,31.0,16.0,0.0,3.0,2.0,0.0,32.0
184,82.0,20.0,0.0,5.0,5.0,0.0,31.0
185,35.0,34.0,0.0,3.0,2.0,0.0,21.0
186,17.0,24.0,0.0,3.0,1.0,0.0,36.0
187,251.0,25.0,0.0,13.0,10.0,0.0,131.0
188,27.0,14.0,0.0,5.0,1.0,0.0,38.0
189,26.0,14.0,0.0,3.0,1.0,0.0,34.0
190,56.0,14.0,0.0,6.0,2.0,0.0,20.0
191,37.0,11.0,0.0,3.0,2.0,0.0,10.0
192,51.0,26.0,0.0,6.0,2.0,0.0,22.0
193,38.0,9.0,0.0,3.0,3.0,0.0,6.0
194,80.0,16.0,0.0,3.0,3.0,0.0,43.0
195,228.0,13.0,0.0,3.0,3.0,0.0,9.0
196,79.0,20.0,0.0,8.0,1.0,0.0,8.0
197,64.0,23.0,0.0,5.0,3.0,0.0,14.0
198,71.0,22.0,0.0,3.0,1.0,0.0,30.0
199,66.0,43.0,0.0,5.0,3.0,0.0,21.0
200,31.0,14.0,0.0,3.0,2.0,0.0,14.0
